iter	RMSE
0	361253.5919
1	347179.019
2	334002.5515
3	316488.8418
4	299739.8246
5	287232.3262
6	274176.2119
7	264696.0962
8	252007.4909
9	240860.1933
10	231371.0275
11	223507.2195
12	213205.3193
13	203875.9284
14	196572.8688
15	189975.5572
16	182089.4665
17	175590.8372
18	169976.1259
19	164123.6074
20	160193.5398
21	154238.1106
22	149742.8399
23	145028.4003
24	141353.9096
25	137691.3808
26	134045.922
27	130938.8093
28	128642.2109
29	125184.2901
30	123113.8606
31	118637.1881
32	116138.2523
33	113639.8861
34	112031.2316
35	109029.4107
36	106900.1078
37	105197.8536
38	102555.6741
39	99653.59046
40	97414.60413
41	95677.75296
42	94841.05841
43	93552.98148
44	92592.72543
45	91854.15627
46	90981.86631
47	89821.01243
48	88615.00705
49	87821.94459
50	86155.78918
51	84740.97865
52	84228.59249
53	83212.64724
54	82047.5465
55	80987.66444
56	80053.27051
57	78704.74382
58	77282.07687
59	76761.08728
60	75738.28016
61	74560.80905
62	74091.56604
63	73218.49503
64	72390.72619
65	71668.50123
66	71018.3943
67	70211.01716
68	69548.9836
69	68891.0774
70	68178.6754
71	66991.21475
72	66396.98507
73	65750.82368
74	64736.72337
75	64125.79081
76	63681.05629
77	63192.4992
78	62311.65931
79	62032.23542
80	61544.35216
81	60827.75632
82	60320.59482
83	59728.0625
84	59228.15838
85	58896.07997
86	58324.51499
87	57869.34604
88	57423.86205
89	56961.74779
90	56460.58945
91	56067.32061
92	55538.04768
93	55063.93815
94	54661.21497
95	54307.98735
96	53771.81511
97	53332.02482
98	53035.84574
99	52760.13897
100	52492.24102
101	52239.22308
102	52000.19653
103	51651.44797
104	51450.65353
105	51140.34693
106	50800.76412
107	50531.12473
108	50256.87886
109	49974.89931
110	49654.19742
111	49458.21021
112	49261.23311
113	49102.33056
114	48735.36047
115	48549.96655
116	48382.01274
117	48207.30706
118	47878.70428
119	47651.31411
120	47534.65018
121	47273.45732
122	46995.06493
123	46731.87998
124	46501.87344
125	46315.40311
126	46118.04611
127	46014.95974
128	45708.16748
129	45455.5958
130	45246.40491
131	45108.82107
132	44921.25731
133	44742.43856
134	44596.52177
135	44392.31059
136	44289.61413
137	44072.59593
138	43937.07866
139	43745.33552
140	43637.73143
141	43469.18362
142	43358.90995
143	43194.80721
144	43078.55409
145	42886.92362
146	42713.05463
147	42607.31732
148	42449.82431
149	42296.75225
150	42148.82914
151	42037.61768
152	41826.6069
153	41684.19979
154	41618.9495
155	41481.51181
156	41400.4473
157	41312.68813
158	41181.33688
159	41048.11854
160	40965.66912
161	40849.50035
162	40747.48278
163	40661.17626
164	40560.93183
165	40419.56346
166	40326.33128
167	40232.03677
168	40163.51968
169	40091.2029
170	40001.29304
171	39874.54095
172	39723.8306
173	39663.52609
174	39578.19488
175	39464.37878
176	39354.53132
177	39299.80378
178	39197.32426
179	39158.5054
180	39032.81593
181	38951.65571
182	38773.80383
183	38668.51866
184	38576.02906
185	38518.93939
186	38417.10788
187	38381.74091
188	38276.7044
189	38208.37559
190	38106.42598
191	38046.65233
192	37950.69131
193	37919.39698
194	37834.12256
195	37706.29294
196	37633.55283
197	37587.63488
198	37503.33481
199	37441.4817
200	37348.93209
201	37288.63658
202	37235.07162
203	37190.93281
204	37052.36842
205	36969.50677
206	36877.38371
207	36784.9493
208	36698.77653
209	36576.66321
210	36463.99665
211	36384.00855
212	36333.78861
213	36231.17682
214	36173.46316
215	36083.20914
216	36034.76568
217	36013.36001
218	35917.27854
219	35871.90704
220	35809.65616
221	35774.41266
222	35675.97
223	35592.80655
224	35518.64987
225	35458.13891
226	35381.4671
227	35311.70723
228	35246.55841
229	35123.80195
230	35078.51185
231	35042.5964
232	34986.06522
233	34906.66931
234	34851.21207
235	34787.83832
236	34755.3283
237	34683.48268
238	34615.59598
239	34601.06021
240	34544.34583
241	34468.80007
242	34374.46871
243	34326.13627
244	34299.65393
245	34288.02967
246	34189.68279
247	34179.22836
248	34114.38583
249	34068.5535
250	33979.80749
251	33932.26417
252	33903.06189
253	33847.39686
254	33788.75418
255	33736.74804
256	33675.13439
257	33637.22275
258	33601.64744
259	33585.55583
260	33508.34971
261	33419.77673
262	33347.17678
263	33313.97899
264	33260.31067
265	33207.49065
266	33136.55166
267	33086.71589
268	33010.46522
269	32945.52793
270	32861.0986
271	32831.28529
272	32805.31294
273	32755.59159
274	32686.50283
275	32635.20841
276	32623.89828
277	32577.60374
278	32540.49452
279	32502.34314
280	32442.15517
281	32426.17072
282	32318.76137
283	32254.57193
284	32176.40433
285	32138.98264
286	32079.17269
287	32046.98573
288	32020.25339
289	31986.27021
290	31957.47054
291	31923.33639
292	31863.48198
293	31849.6767
294	31806.18714
295	31773.30457
296	31750.92773
297	31730.673
298	31691.00044
299	31611.94595
300	31568.03927
301	31528.63477
302	31487.2103
303	31480.14526
304	31431.07453
305	31356.49093
306	31318.02016
307	31266.88169
308	31252.98493
309	31225.76643
310	31183.10017
311	31147.82136
312	31091.17096
313	31061.8759
314	31048.09681
315	30991.12185
316	30957.68437
317	30907.01876
318	30867.93726
319	30820.54048
320	30770.17046
321	30735.54897
322	30667.15546
323	30637.92241
324	30629.33935
325	30600.26824
326	30571.39788
327	30526.27315
328	30486.57743
329	30437.38929
330	30387.69552
331	30330.59016
332	30309.78183
333	30264.87231
334	30244.63048
335	30169.69952
336	30136.18063
337	30076.98622
338	30053.78822
339	30008.32202
340	29962.96209
341	29929.39811
342	29864.07123
343	29832.6527
344	29768.18135
345	29741.61551
346	29733.96556
347	29699.44117
348	29658.21407
349	29635.65477
350	29593.11417
