iter	Passed	Remaining
0	12	12364
1	30	15400
2	37	12610
3	44	11137
4	50	9987
5	55	9170
6	61	8687
7	69	8639
8	76	8417
9	82	8139
10	86	7817
11	89	7401
12	96	7299
13	102	7251
14	108	7135
15	113	6994
16	121	7003
17	127	6933
18	132	6855
19	138	6794
20	146	6810
21	154	6871
22	160	6808
23	164	6709
24	173	6779
25	182	6834
26	188	6781
27	192	6665
28	196	6576
29	200	6479
30	203	6349
31	208	6318
32	215	6319
33	221	6295
34	227	6272
35	231	6210
36	237	6191
37	243	6164
38	249	6156
39	254	6097
40	260	6094
41	265	6066
42	271	6044
43	279	6072
44	284	6043
45	288	5974
46	292	5938
47	297	5898
48	302	5877
49	308	5852
50	314	5846
51	319	5828
52	323	5779
53	331	5800
54	335	5768
55	339	5724
56	343	5685
57	347	5643
58	350	5591
59	354	5546
60	358	5513
61	367	5553
62	371	5522
63	376	5499
64	379	5458
65	383	5425
66	386	5384
67	391	5360
68	394	5324
69	398	5289
70	403	5275
71	413	5328
72	418	5313
73	422	5284
74	425	5252
75	429	5220
76	432	5184
77	436	5162
78	440	5139
79	444	5111
80	448	5085
81	451	5055
82	455	5037
83	459	5015
84	463	4990
85	468	4975
86	472	4958
87	476	4938
88	480	4913
89	483	4890
90	487	4869
91	492	4858
92	496	4846
93	501	4830
94	505	4817
95	509	4793
96	512	4774
97	517	4761
98	523	4761
99	527	4748
100	532	4738
101	540	4762
102	545	4748
103	549	4735
104	553	4718
105	558	4710
106	562	4697
107	567	4685
108	571	4671
109	575	4655
110	579	4642
111	583	4626
112	587	4613
113	592	4604
114	597	4598
115	602	4593
116	607	4583
117	611	4571
118	616	4561
119	619	4546
120	625	4542
121	629	4530
122	634	4525
123	638	4511
124	647	4532
125	651	4517
126	654	4499
127	657	4482
128	661	4465
129	665	4452
130	669	4440
131	672	4423
132	676	4409
133	679	4393
134	683	4381
135	687	4365
136	690	4350
137	693	4333
138	697	4318
139	700	4305
140	704	4290
141	709	4287
142	713	4275
143	717	4262
144	721	4251
145	724	4237
146	727	4223
147	731	4211
148	737	4210
149	742	4206
150	747	4201
151	752	4195
152	756	4188
153	760	4180
154	765	4175
155	769	4165
156	774	4158
157	779	4152
158	783	4142
159	787	4135
160	791	4122
161	794	4110
162	798	4098
163	802	4089
164	812	4110
165	816	4104
166	821	4097
167	825	4089
168	829	4081
169	834	4073
170	838	4062
171	841	4052
172	846	4045
173	851	4040
174	854	4030
175	858	4018
176	861	4007
177	865	3994
178	868	3982
179	871	3971
180	875	3960
181	879	3952
182	882	3942
183	886	3930
184	889	3920
185	894	3916
186	899	3910
187	904	3904
188	907	3895
189	911	3886
190	915	3875
191	918	3865
192	921	3854
193	925	3846
194	930	3842
195	935	3836
196	938	3827
197	942	3817
198	946	3807
199	949	3799
200	953	3790
201	956	3779
202	960	3770
203	963	3760
204	967	3751
205	972	3746
206	976	3741
207	980	3733
208	984	3725
209	988	3717
210	991	3709
211	995	3699
212	999	3692
213	1002	3683
214	1006	3675
215	1010	3666
216	1013	3657
217	1017	3651
218	1021	3644
219	1025	3637
220	1029	3628
221	1033	3623
222	1038	3616
223	1041	3608
224	1045	3600
225	1048	3591
226	1052	3585
227	1056	3577
228	1060	3570
229	1064	3562
230	1068	3557
231	1073	3552
232	1077	3548
233	1082	3543
234	1087	3539
235	1091	3534
236	1096	3530
237	1101	3525
238	1105	3520
239	1110	3515
240	1114	3511
241	1119	3505
242	1122	3496
243	1125	3488
244	1129	3479
245	1132	3470
246	1135	3463
247	1139	3456
248	1143	3449
249	1147	3441
250	1150	3434
251	1154	3427
252	1158	3419
253	1161	3411
254	1165	3405
255	1169	3399
256	1173	3394
257	1178	3388
258	1181	3380
259	1185	3372
260	1188	3365
261	1192	3358
262	1195	3351
263	1199	3343
264	1203	3337
265	1206	3330
266	1210	3322
267	1216	3321
268	1222	3321
269	1225	3314
270	1228	3305
271	1233	3301
272	1237	3296
273	1242	3291
274	1246	3285
275	1249	3278
276	1255	3275
277	1258	3269
278	1262	3263
279	1267	3258
280	1271	3253
281	1275	3247
282	1279	3240
283	1285	3242
284	1289	3234
285	1296	3236
286	1302	3235
287	1310	3238
288	1313	3232
289	1318	3228
290	1323	3223
291	1326	3217
292	1331	3211
293	1335	3207
294	1339	3201
295	1343	3194
296	1346	3188
297	1351	3183
298	1355	3178
299	1360	3175
300	1364	3169
301	1368	3163
302	1372	3157
303	1376	3151
304	1380	3145
305	1384	3139
306	1388	3133
307	1392	3129
308	1396	3122
309	1399	3115
310	1403	3108
311	1406	3101
312	1410	3095
313	1413	3088
314	1416	3081
315	1420	3073
316	1424	3069
317	1428	3063
318	1431	3056
319	1435	3049
320	1438	3042
321	1442	3037
322	1446	3031
323	1452	3029
324	1455	3023
325	1459	3017
326	1463	3011
327	1466	3005
328	1470	2998
329	1473	2992
330	1477	2985
331	1480	2978
332	1484	2973
333	1487	2966
334	1490	2959
335	1494	2953
336	1498	2948
337	1503	2944
338	1506	2937
339	1510	2931
340	1513	2925
341	1517	2919
342	1521	2913
343	1524	2908
344	1528	2902
345	1532	2896
346	1536	2890
347	1540	2886
348	1544	2881
349	1548	2876
350	1553	2872
351	1557	2866
352	1561	2861
353	1565	2857
354	1569	2851
355	1574	2848
356	1578	2843
357	1583	2839
358	1587	2833
359	1591	2829
360	1595	2823
361	1599	2818
362	1603	2813
363	1607	2808
364	1611	2803
365	1617	2801
366	1622	2799
367	1627	2795
368	1632	2792
369	1637	2787
370	1641	2783
371	1647	2780
372	1651	2775
373	1657	2773
374	1662	2770
375	1665	2764
376	1670	2760
377	1674	2755
378	1679	2751
379	1683	2746
380	1688	2742
381	1692	2738
382	1697	2734
383	1701	2728
384	1706	2725
385	1710	2720
386	1715	2716
387	1719	2712
388	1725	2709
389	1729	2704
390	1734	2700
391	1738	2696
392	1743	2693
393	1748	2689
394	1752	2684
395	1757	2681
